MAE,RMSE,R2,fold,AoA,Mach,model
0.028248187867063023,0.04066582064863912,0.9979084797342118,98,5.0,0.7,Neural network
0.022244246059454256,0.0313685885462048,0.9985070005361172,99,5.0,0.72,Neural network
0.03645136118254536,0.051578841784411966,0.9950723669087439,100,5.0,0.74,Neural network
0.028162969736039743,0.042361926272751385,0.9960365635320764,101,5.0,0.76,Neural network
0.022660002921624577,0.029665821797532993,0.9977456265989164,102,5.0,0.78,Neural network
0.04892101598229082,0.07373920211387783,0.9944206538043785,103,6.0,0.68,Neural network
0.020142717572459414,0.031203344329310146,0.9987997845328408,104,6.0,0.7,Neural network
0.017517206894443253,0.03044016284006351,0.9986059723815046,105,6.0,0.72,Neural network
0.01682833684804635,0.02260721017635139,0.9990844653374377,106,6.0,0.74,Neural network
0.015071247924031634,0.021613385921679076,0.9990282172950129,107,6.0,0.76,Neural network
0.029145222582296654,0.04221368830705104,0.995800898309027,108,6.0,0.78,Neural network
0.037914020745848154,0.05595709812842743,0.9967127684055987,109,7.0,0.68,Neural network
0.026005365622886967,0.04352588973760066,0.9976042542768921,110,7.0,0.7,Neural network
0.0221491132750726,0.03955156168729129,0.9976301583008411,111,7.0,0.72,Neural network
0.01685969464552825,0.022810077839982703,0.9990853970487409,112,7.0,0.74,Neural network
0.01971566752818758,0.02819855996887753,0.9984163103981665,113,7.0,0.76,Neural network
0.02636807584674217,0.03997648490437071,0.996487665479713,114,7.0,0.78,Neural network
0.041548745820534146,0.06539005972639808,0.9949558564035603,115,8.0,0.68,Neural network
0.025849983491117393,0.04376936210467512,0.9973854654136323,116,8.0,0.7,Neural network
0.01757884382610626,0.027661666899588377,0.9988117238315365,117,8.0,0.72,Neural network
0.021017380713864636,0.03019713394261877,0.9984119783411471,118,8.0,0.74,Neural network
0.015317404291198706,0.023471147131452222,0.9989432815103877,119,8.0,0.76,Neural network
0.04019688133050242,0.06632684312318987,0.9908507185796191,120,8.0,0.78,Neural network
0.03582034858594989,0.0652217573844484,0.9940655978572802,121,9.0,0.68,Neural network
0.033775996015481306,0.06335848551836365,0.9938767524011696,122,9.0,0.7,Neural network
0.025280053680325435,0.03687521112630559,0.9977406633933538,123,9.0,0.72,Neural network
0.014984619751051448,0.02488062430151462,0.9988936890515557,124,9.0,0.74,Neural network
0.030072097699093178,0.04801470877897656,0.9956289375766112,125,9.0,0.76,Neural network
0.02089977877709499,0.034050738464183786,0.9977059552904137,126,9.0,0.78,Neural network
