fold,AoA,Mach,MAE,RMSE,R2,model
3,0.0,0.72,0.38958884385556153,0.4607754024363999,-0.28698477912752685,Polynomial ridge d2
4,0.0,0.74,0.3863628873345791,0.4580529863164008,-0.18592791620850502,Polynomial ridge d2
5,0.0,0.76,0.3946727410567092,0.46714822158484093,-0.12463503130744669,Polynomial ridge d2
6,0.0,0.78,0.41651697688132217,0.49501679770385565,-0.1423007262742486,Polynomial ridge d2
7,1.0,0.68,0.32118697681401226,0.40526151782657877,0.15350127492694898,Polynomial ridge d2
8,1.0,0.7,0.3087857919826014,0.3921937297258492,0.24553771791481305,Polynomial ridge d2
9,1.0,0.72,0.29933845494542993,0.3837433736061082,0.31920103285017276,Polynomial ridge d2
10,1.0,0.74,0.3004988524824325,0.3843043764466127,0.3675514854579178,Polynomial ridge d2
11,1.0,0.76,0.3223841189632978,0.40652821941114725,0.332722435864958,Polynomial ridge d2
12,1.0,0.78,0.3529443356266504,0.4357834086724829,0.2273006497322808,Polynomial ridge d2
13,10.0,0.68,0.4276799138885909,0.5734106975152939,0.3978342784706854,Polynomial ridge d2
14,10.0,0.7,0.4194554972145532,0.5580395193896925,0.4180449853908239,Polynomial ridge d2
15,10.0,0.72,0.4136384146702273,0.5427663949478407,0.4404176757236681,Polynomial ridge d2
16,10.0,0.74,0.4129718565507945,0.5279301803070552,0.4664439184861289,Polynomial ridge d2
17,10.0,0.76,0.41082741047986254,0.510310490416303,0.4958330006077455,Polynomial ridge d2
18,10.0,0.78,0.40233652246951496,0.4894483829887722,0.5328054435836965,Polynomial ridge d2
19,11.0,0.68,0.40203532317355,0.529369000105687,0.38047623245362594,Polynomial ridge d2
20,11.0,0.7,0.3941465436015539,0.5156718853541424,0.40554205199382065,Polynomial ridge d2
21,11.0,0.72,0.3890702204546191,0.5067768480713805,0.4283929002529696,Polynomial ridge d2
22,11.0,0.74,0.386597549853769,0.5028698958164796,0.44922561105822223,Polynomial ridge d2
23,11.0,0.76,0.39212806502835357,0.5051435116915917,0.47021897469783625,Polynomial ridge d2
24,11.0,0.78,0.404156564212085,0.5037375667393134,0.498434802954033,Polynomial ridge d2
25,12.0,0.68,0.3846006423371609,0.5023552893555371,0.38858080294576525,Polynomial ridge d2
26,12.0,0.7,0.37727128802398663,0.4911087965129262,0.41655235667107504,Polynomial ridge d2
27,12.0,0.72,0.3715796459017346,0.48155872406547684,0.4425030318860811,Polynomial ridge d2
28,12.0,0.74,0.36745012182900744,0.4739964079019054,0.4667879928412457,Polynomial ridge d2
29,12.0,0.76,0.3679431214508309,0.4751293573528613,0.48395973428047767,Polynomial ridge d2
30,12.0,0.78,0.3765551950222372,0.4877753593746651,0.494394980959204,Polynomial ridge d2
31,13.0,0.68,0.3695315316298921,0.479883298953887,0.4135907794245932,Polynomial ridge d2
32,13.0,0.7,0.3615124378590489,0.4668380005888038,0.4451673778956602,Polynomial ridge d2
33,13.0,0.72,0.35663754080281573,0.4592752316895546,0.47053938959712394,Polynomial ridge d2
34,13.0,0.74,0.35388393348453695,0.4553466733753531,0.4918180355589199,Polynomial ridge d2
35,13.0,0.76,0.3530473561288547,0.45465715072843516,0.5095738258770179,Polynomial ridge d2
36,13.0,0.78,0.3547201608384893,0.457397310386033,0.5240089340150669,Polynomial ridge d2
37,14.0,0.68,0.3555174985451366,0.45873923775257397,0.4503850803790399,Polynomial ridge d2
