fold,AoA,Mach,MAE,RMSE,R2,model
38,14.0,0.7,0.34801135692488816,0.44678966203948395,0.4814041576964949,Polynomial ridge d2
39,14.0,0.72,0.3427981980016457,0.4383478913862823,0.5075237983896059,Polynomial ridge d2
40,14.0,0.74,0.34082859799823106,0.43605379181228726,0.5260374531077732,Polynomial ridge d2
41,14.0,0.76,0.3412657712844566,0.43749998640237636,0.540034605628673,Polynomial ridge d2
42,14.0,0.78,0.343939466950991,0.44327143269103664,0.5493306141476958,Polynomial ridge d2
43,15.0,0.68,0.3440403689826101,0.44260961745586974,0.488687227404208,Polynomial ridge d2
44,15.0,0.7,0.33733308869849266,0.43163770132300333,0.5175053640695211,Polynomial ridge d2
45,15.0,0.72,0.33262665177348455,0.4237714222571318,0.5418102180433592,Polynomial ridge d2
46,15.0,0.74,0.3296552613858323,0.41908599234640354,0.5617750475255836,Polynomial ridge d2
47,15.0,0.76,0.32979128503221705,0.42012797919372524,0.5744665750569814,Polynomial ridge d2
48,15.0,0.78,0.33301131022188163,0.42696212977488995,0.5805193050778314,Polynomial ridge d2
49,16.0,0.68,0.3354767041429148,0.4301735341592086,0.5203616319749271,Polynomial ridge d2
50,16.0,0.7,0.32946217595678023,0.4204537284789411,0.5465930429406023,Polynomial ridge d2
51,16.0,0.72,0.32510232379260173,0.41342401334632467,0.5687708043561023,Polynomial ridge d2
52,16.0,0.74,0.32236147640668333,0.40920924715473667,0.5869743599576902,Polynomial ridge d2
53,16.0,0.76,0.3223153169821698,0.41010331299373115,0.5984532134223479,Polynomial ridge d2
54,16.0,0.78,0.323973295250282,0.41362174092660503,0.6069773368309243,Polynomial ridge d2
55,17.0,0.68,0.32697670427531617,0.41897445959651514,0.5550152440906622,Polynomial ridge d2
56,17.0,0.7,0.3224684730547891,0.4115311957523831,0.5768068172452296,Polynomial ridge d2
57,17.0,0.72,0.3195336601424499,0.40686437556157945,0.5944785076746602,Polynomial ridge d2
